trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9998000066665778}",25,0,-91.13252280692595,"{0: 13, 1: 6, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9995500337489875}",25,0,-157.9035998749329,"{0: 11, 1: 6, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-91.60502188524316,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9987502603949663}",25,0,-115.53648553006359,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9982005399352042}",25,0,-117.99419427221721,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",1
6,False,"{'a': 0.01, 'e': 0.9975510002532796}",30,0,-199.3800975709725,"{0: 16, 1: 1, 2: 9, 3: 2, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-80.84596019001172,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,0,-120.79621962196609,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9950041652780258}",20,0,-136.5213703637669,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.9939560979566968}",30,0,-232.92193941081152,"{0: 17, 1: 2, 2: 6, 3: 1, 4: 4}",0
11,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-83.21323486169258,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-108.36955756458744,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9902159962126371}",25,0,-65.29647791163801,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.01, 'e': 0.9887710779360422}",35,0,-202.62888393025716,"{0: 18, 1: 4, 2: 9, 3: 2, 4: 2}",0
