trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.005, 'e': 0.9999500004166653}",25,0,-66.08049938682956,"{0: 14, 1: 6, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.005, 'e': 0.9998875021093592}",20,0,-214.9447452019593,"{0: 9, 1: 0, 2: 7, 3: 0, 4: 4}",0
3,False,"{'a': 0.005, 'e': 0.9998000066665778}",30,0,-143.71537446374506,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.005, 'e': 0.9996875162757026}",20,0,-100.91626397697873,"{0: 10, 1: 3, 2: 4, 3: 3, 4: 0}",0
5,False,"{'a': 0.005, 'e': 0.9995500337489875}",25,0,-71.87088228346133,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
6,False,"{'a': 0.005, 'e': 0.9993875625234886}",25,0,-106.07780635451509,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
7,False,"{'a': 0.005, 'e': 0.9992001066609779}",25,0,-126.2223609605243,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.005, 'e': 0.9989876708478425}",20,0,-189.58614029110933,"{0: 11, 1: 0, 2: 4, 3: 2, 4: 3}",0
9,False,"{'a': 0.005, 'e': 0.9987502603949663}",20,0,-122.03477815259936,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.005, 'e': 0.9984878812375985}",30,0,-136.6101297456895,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
11,False,"{'a': 0.005, 'e': 0.9982005399352042}",30,0,-157.05192950462865,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
12,False,"{'a': 0.005, 'e': 0.9978882436713011}",20,3,-78.52024850761165,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 1}",1
13,False,"{'a': 0.005, 'e': 0.9975510002532796}",25,0,-218.9636303672734,"{0: 12, 1: 3, 2: 6, 3: 0, 4: 4}",0
14,False,"{'a': 0.005, 'e': 0.9971888181122075}",30,0,-235.01780462672784,"{0: 14, 1: 6, 2: 4, 3: 3, 4: 3}",0
15,False,"{'a': 0.005, 'e': 0.9968017063026194}",20,0,-57.010618228309916,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
