trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
130,False,"{'a': 0.5, 'e': 0.8900024767126464}",20,0,-136.90959976354958,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
131,False,"{'a': 0.5, 'e': 0.99964745596635}",20,0,-72.60069398313505,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
132,False,"{'a': 0.5, 'e': 0.8645438740756395}",30,0,-22.076328576018753,"{0: 23, 1: 4, 2: 3, 3: 0, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.5177697997895051}",25,0,2.0358038297187484,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.04422762066183892}",20,12,13.07797660685049,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.4401430224960407}",30,0,-130.45932487571002,"{0: 23, 1: 1, 2: 2, 3: 1, 4: 3}",0
136,False,"{'a': 0.5, 'e': 0.8167513032223336}",20,0,-159.26574691962418,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
137,False,"{'a': 0.5, 'e': 0.9933903797222716}",20,0,-77.23267718627143,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
138,False,"{'a': 0.5, 'e': 0.926812845565509}",25,0,-99.04673543915959,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
139,False,"{'a': 0.5, 'e': 0.6333192030862999}",25,0,-69.54611832676555,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
140,False,"{'a': 0.5, 'e': 0.18476693191217952}",20,6,8.754737137404163,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.3090227281660707}",20,14,8.87966634063747,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.7271528468448446}",25,0,-85.07000072982927,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
143,False,"{'a': 0.5, 'e': 0.9672505882738824}",20,0,-65.58466274643305,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
144,False,"{'a': 0.5, 'e': 0.9705316516498831}",30,0,-120.30714122365427,"{0: 18, 1: 3, 2: 6, 3: 3, 4: 0}",0
145,False,"{'a': 0.5, 'e': 0.7361927182273159}",30,0,-80.94402053875268,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
146,False,"{'a': 0.5, 'e': 0.32160813176404734}",25,0,-4.0138971131168315,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.17171734183077755}",25,4,22.19387995815985,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.6230004212937645}",25,0,-154.33421261122223,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
149,False,"{'a': 0.5, 'e': 0.9217512697247493}",20,0,-116.86241519932611,"{0: 10, 1: 2, 2: 4, 3: 4, 4: 0}",0
150,False,"{'a': 0.5, 'e': 0.9948252601277343}",20,0,-181.35226721062114,"{0: 11, 1: 4, 2: 1, 3: 0, 4: 4}",0
151,False,"{'a': 0.5, 'e': 0.8243313311075577}",30,0,-121.66377699654507,"{0: 17, 1: 4, 2: 6, 3: 3, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.45201234267200896}",25,0,-41.586968902863724,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
153,False,"{'a': 0.5, 'e': 0.03097503173121646}",25,10,28.268922898114567,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.506378638074642}",30,0,-16.290472511396707,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
