trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.810157377815473}",25,0,-107.41012031573109,"{0: 19, 1: 2, 2: 0, 3: 2, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.8061065909263957}",25,0,-51.31233857572188,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.8020760579717637}",30,0,-70.14299910093808,"{0: 22, 1: 4, 2: 2, 3: 1, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.7980656776819048}",20,0,-181.2919242914452,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
46,False,"{'a': 0.5, 'e': 0.7940753492934953}",30,0,-81.35909700619396,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.7901049725470278}",30,0,-134.99025004053345,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.7861544476842928}",20,0,-116.47374381153124,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.7822236754458712}",20,0,-133.20510307703432,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.7783125570686419}",20,0,-101.7051694105262,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.7744209942832987}",20,0,-92.81452480650847,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.7705488893118821}",30,5,-124.62638675124846,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",1
53,False,"{'a': 0.5, 'e': 0.7666961448653228}",30,0,-80.15013080757811,"{0: 20, 1: 3, 2: 5, 3: 2, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.7628626641409961}",25,0,-144.94484538892024,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.7590483508202912}",20,0,-76.41331943208283,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.7552531090661897}",20,5,-36.71787589932231,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
57,False,"{'a': 0.5, 'e': 0.7514768435208588}",20,0,-35.456559976363515,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.7477194593032545}",25,19,8.631715028390284,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.7439808620067382}",20,8,17.982970566231696,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.7402609576967045}",25,1,-70.27696862586335,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 1}",1
61,False,"{'a': 0.5, 'e': 0.736559652908221}",25,4,-1.85237368992494,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.7328768546436798}",30,0,-6.825577888387279,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.7292124703704614}",20,7,-33.47388128866716,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
64,False,"{'a': 0.5, 'e': 0.7255664080186092}",25,0,-104.69873047150995,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.7219385759785161}",20,0,-38.12235079163339,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.7183288830986235}",20,0,-75.36246828898668,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.7147372386831303}",20,10,0.8902160231933571,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.7111635524897147}",25,16,-41.76344979748927,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
69,False,"{'a': 0.5, 'e': 0.7076077347272661}",20,0,-61.00522577026646,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.7040696960536298}",20,0,-39.25934749715641,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.7005493475733616}",20,0,-93.50436922693268,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
72,False,"{'a': 0.5, 'e': 0.6970466008354949}",20,10,16.71172684120265,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.6935613678313174}",25,0,-70.17740942183,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.6900935609921608}",25,1,-59.042983196908104,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 2}",1
75,False,"{'a': 0.5, 'e': 0.6866430931872}",30,15,-68.19521189874519,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
76,False,"{'a': 0.5, 'e': 0.683209877721264}",20,6,-32.65637318090215,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.6797938283326577}",25,0,-15.811221125129435,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.6763948591909944}",25,0,1.7627279057980116,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.6730128848950394}",30,14,1.1630309973038027,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.6696478204705641}",20,0,-69.764729108216,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.6662995813682113}",20,6,-10.854809500345285,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.6629680834613703}",30,6,-57.62482086003483,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.6596532430440635}",20,2,-6.206101865658233,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.6563549768288431}",25,16,-1.6926744574013233,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.653073201944699}",25,17,-7.656127712896177,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.6498078359349754}",20,0,-52.014556636726994,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.6465587967553006}",25,4,-81.94609229934437,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 1}",1
88,False,"{'a': 0.5, 'e': 0.6433260027715241}",25,0,-149.6055295573624,"{0: 16, 1: 1, 2: 3, 3: 3, 4: 2}",0
89,False,"{'a': 0.5, 'e': 0.6401093727576664}",20,0,-7.119149418650407,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.6369088258938781}",20,5,-105.29645683456575,"{0: 8, 1: 0, 2: 4, 3: 2, 4: 1}",1
91,False,"{'a': 0.5, 'e': 0.6337242817644086}",20,0,-199.23087695102504,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
92,False,"{'a': 0.5, 'e': 0.6305556603555866}",20,2,-140.30000533792398,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 3}",1
93,False,"{'a': 0.5, 'e': 0.6274028820538087}",35,0,-86.7644719610974,"{0: 26, 1: 3, 2: 4, 3: 1, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.6242658676435396}",20,0,-111.99463568136261,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
95,False,"{'a': 0.5, 'e': 0.621144538305322}",20,0,-47.96773728902006,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.6180388156137954}",20,15,-14.371008273611832,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.6149486215357264}",20,2,-32.7496331398107,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
98,False,"{'a': 0.5, 'e': 0.6118738784280477}",30,0,-32.016155973678565,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.6088145090359075}",20,3,-30.625549021510057,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.6057704364907279}",20,0,-53.771157347130305,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.6027415843082743}",20,3,-14.491257638551478,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.599727876386733}",20,0,-64.42070786494479,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.5967292370047993}",20,10,-21.349556361094738,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.5937455908197753}",20,0,-98.20049142763683,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
105,False,"{'a': 0.5, 'e': 0.5907768628656764}",20,5,-27.67168701418789,"{0: 12, 1: 0, 2: 1, 3: 2, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.587822978551348}",20,4,-29.774231168763862,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.5848838636585912}",25,0,-98.63591408751603,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
108,False,"{'a': 0.5, 'e': 0.5819594443402983}",30,0,-67.50256180602263,"{0: 25, 1: 2, 2: 1, 3: 0, 4: 2}",0
109,False,"{'a': 0.5, 'e': 0.5790496471185967}",20,0,-87.96223214764998,"{0: 13, 1: 1, 2: 2, 3: 4, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.5761543988830038}",25,0,-37.7539633769981,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
111,False,"{'a': 0.5, 'e': 0.5732736268885887}",30,0,-165.0902114362695,"{0: 20, 1: 3, 2: 2, 3: 2, 4: 3}",0
112,False,"{'a': 0.5, 'e': 0.5704072587541459}",25,0,-65.7637659638997,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
113,False,"{'a': 0.5, 'e': 0.5675552224603752}",35,7,-85.10774748590524,"{0: 22, 1: 1, 2: 1, 3: 3, 4: 1}",1
114,False,"{'a': 0.5, 'e': 0.5647174463480732}",20,0,-101.58703120559922,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
115,False,"{'a': 0.5, 'e': 0.5618938591163328}",20,0,-11.989199182857412,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.5590843898207511}",35,18,-10.274236930014013,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.5562889678716474}",20,0,-120.63216302960896,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
118,False,"{'a': 0.5, 'e': 0.5535075230322892}",25,13,-34.6370524189601,"{0: 9, 1: 0, 2: 1, 3: 2, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.5507399854171278}",25,10,-51.49644694028672,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
120,False,"{'a': 0.5, 'e': 0.5479862854900421}",30,0,-69.18484570557615,"{0: 21, 1: 5, 2: 3, 3: 0, 4: 1}",0
121,False,"{'a': 0.5, 'e': 0.5452463540625919}",20,0,-10.497800649556376,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
122,False,"{'a': 0.5, 'e': 0.542520122292279}",20,0,1.8628568070512577,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.5398075216808176}",25,15,6.584321858605016,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.5371084840724134}",20,6,-12.419254065480489,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
125,False,"{'a': 0.5, 'e': 0.5344229416520514}",20,2,-69.64934084970403,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 1}",1
126,False,"{'a': 0.5, 'e': 0.5317508269437912}",20,10,-23.47444265721443,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.5290920728090721}",20,0,-70.40536641228822,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
128,False,"{'a': 0.5, 'e': 0.5264466124450268}",25,14,5.34543751181744,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.5238143793828016}",20,10,-28.9447503366292,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.5211953074858876}",25,15,5.691551462027894,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.5185893309484582}",20,5,-105.68302445313483,"{0: 8, 1: 0, 2: 4, 3: 2, 4: 1}",1
132,False,"{'a': 0.5, 'e': 0.515996384293716}",25,0,-75.42831852774695,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
