trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.6505090947233165}",20,8,-68.0158011225674,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 1}",1
43,False,"{'a': 0.01, 'e': 0.6440364210831414}",25,0,-92.43309702627812,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.6376281516217733}",20,0,-11.339367342785584,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
45,False,"{'a': 0.01, 'e': 0.631283645506926}",30,14,-6.5060649715661185,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
46,False,"{'a': 0.01, 'e': 0.6250022682827008}",25,14,10.571336465216406,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.01, 'e': 0.6187833918061408}",25,0,-55.6700927415313,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
48,False,"{'a': 0.01, 'e': 0.6126263941844161}",25,10,-18.814206746977,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
49,False,"{'a': 0.01, 'e': 0.6065306597126334}",30,15,-94.82009429825452,"{0: 9, 1: 0, 2: 3, 3: 2, 4: 1}",1
50,False,"{'a': 0.01, 'e': 0.6004955788122659}",20,0,-134.29309285770154,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
51,False,"{'a': 0.01, 'e': 0.5945205479701944}",25,0,17.472141852136662,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
52,False,"{'a': 0.01, 'e': 0.5886049696783552}",20,0,-35.489325708162546,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
53,False,"{'a': 0.01, 'e': 0.5827482523739896}",20,0,-22.60339905514973,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
54,False,"{'a': 0.01, 'e': 0.5769498103804866}",25,11,13.079239577291329,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.01, 'e': 0.5712090638488149}",25,4,-119.06677131867116,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 2}",1
56,False,"{'a': 0.01, 'e': 0.5655254386995371}",20,0,-22.62220602596861,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
57,False,"{'a': 0.01, 'e': 0.559898366565402}",20,0,-51.16438970025052,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
58,False,"{'a': 0.01, 'e': 0.5543272847345071}",25,0,-23.538612362581357,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
59,False,"{'a': 0.01, 'e': 0.5488116360940265}",30,0,-94.26551073696162,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
60,False,"{'a': 0.01, 'e': 0.5433508690744998}",25,10,-102.61891121302989,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 2}",1
61,False,"{'a': 0.01, 'e': 0.5379444375946745}",20,0,-108.65106074786534,"{0: 15, 1: 1, 2: 0, 3: 2, 4: 2}",0
62,False,"{'a': 0.01, 'e': 0.5325918010068972}",20,0,14.37406053979661,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
63,False,"{'a': 0.01, 'e': 0.5272924240430485}",25,0,-52.42014247946989,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
64,False,"{'a': 0.01, 'e': 0.522045776761016}",20,0,-116.30415673435458,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
65,False,"{'a': 0.01, 'e': 0.5168513344916992}",20,0,-47.05555785686974,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
66,False,"{'a': 0.01, 'e': 0.5117085777865424}",20,1,-15.533492806890544,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
67,False,"{'a': 0.01, 'e': 0.5066169923655895}",20,0,-0.5583683874056202,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
68,False,"{'a': 0.01, 'e': 0.5015760690660555}",25,11,-25.369099060258808,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
69,False,"{'a': 0.01, 'e': 0.49658530379140947}",20,0,-18.156828232366003,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
70,False,"{'a': 0.01, 'e': 0.4916441974609651}",25,14,-88.72398656384357,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 2}",1
71,False,"{'a': 0.01, 'e': 0.4867522559599717}",20,0,-54.052780789102776,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
72,False,"{'a': 0.01, 'e': 0.48190899009020244}",25,0,-85.50039637948355,"{0: 19, 1: 1, 2: 1, 3: 3, 4: 1}",0
73,False,"{'a': 0.01, 'e': 0.4771139155210344}",20,1,-14.385353283524326,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 0}",1
74,False,"{'a': 0.01, 'e': 0.4723665527410147}",25,10,-9.817221799172206,"{0: 12, 1: 2, 2: 0, 3: 1, 4: 0}",1
75,False,"{'a': 0.01, 'e': 0.46766642700990924}",25,6,-110.47135791219199,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 2}",1
76,False,"{'a': 0.01, 'e': 0.46301306831122807}",25,3,9.938010912648622,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.01, 'e': 0.4584060113052235}",20,7,-54.261312395112284,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
78,False,"{'a': 0.01, 'e': 0.45384479528235583}",30,19,-1.56438669251926,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.01, 'e': 0.44932896411722156}",25,7,-22.101640219459366,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 1}",1
80,False,"{'a': 0.01, 'e': 0.4448580662229411}",20,0,-79.81336395226387,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
81,False,"{'a': 0.01, 'e': 0.44043165450599925}",20,7,8.791183764078033,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.01, 'e': 0.43604928632153556}",30,7,-49.7372971176721,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 1}",1
83,False,"{'a': 0.01, 'e': 0.43171052342907973}",30,1,-127.47670670198964,"{0: 20, 1: 1, 2: 5, 3: 1, 4: 2}",1
84,False,"{'a': 0.01, 'e': 0.4274149319487267}",20,0,21.777649027253826,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
85,False,"{'a': 0.01, 'e': 0.4231620823177488}",20,0,-73.53489589544803,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
86,False,"{'a': 0.01, 'e': 0.418951549247639}",25,3,-14.27088600339821,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 0}",1
87,False,"{'a': 0.01, 'e': 0.4147829116815814}",20,13,13.866116220543592,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.01, 'e': 0.4106557527523455}",25,4,-97.821587635329,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 1}",1
89,False,"{'a': 0.01, 'e': 0.4065696597405991}",20,14,-29.60265876018634,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
90,False,"{'a': 0.01, 'e': 0.40252422403363597}",20,8,5.9759000402024185,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.01, 'e': 0.39851904108451414}",20,10,8.409519766012577,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.01, 'e': 0.3945537103716011}",25,12,7.939741846904514,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.01, 'e': 0.3906278353585211}",25,0,-39.59493257257927,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
94,False,"{'a': 0.01, 'e': 0.3867410234545012}",20,10,-13.304574671006177,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
95,False,"{'a': 0.01, 'e': 0.38289288597511206}",25,10,13.897401042292842,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.37908303810339883}",25,7,-32.82030317229483,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 0}",1
97,False,"{'a': 0.01, 'e': 0.37531109885139957}",30,0,-28.67816227713148,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
98,False,"{'a': 0.01, 'e': 0.3715766910220457}",20,0,-34.16632490703396,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
99,False,"{'a': 0.01, 'e': 0.36787944117144233}",35,0,-33.06833058646993,"{0: 30, 1: 1, 2: 3, 3: 0, 4: 1}",0
100,False,"{'a': 0.01, 'e': 0.3642189795715233}",20,0,-44.46243609094894,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
101,False,"{'a': 0.01, 'e': 0.3605949401730783}",20,0,-65.06461980911394,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
102,False,"{'a': 0.01, 'e': 0.3570069605691474}",35,0,-15.526803672537358,"{0: 29, 1: 2, 2: 4, 3: 0, 4: 0}",0
103,False,"{'a': 0.01, 'e': 0.35345468195878016}",20,14,13.83916929894851,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.3499377491111553}",20,12,-27.254074909888523,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
105,False,"{'a': 0.01, 'e': 0.3464558103300574}",25,8,-19.36361226480454,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
106,False,"{'a': 0.01, 'e': 0.34300851741870664}",25,2,-23.69565364714633,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.3395955256449391}",20,6,-22.1470520800086,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.33621649370673334}",30,18,10.969160132137702,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.33287108369807955}",20,0,1.4524190313254286,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
110,False,"{'a': 0.01, 'e': 0.32955896107518906}",30,9,-46.86223348455539,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 1}",1
111,False,"{'a': 0.01, 'e': 0.32627979462303947}",20,14,-29.867128879235935,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
112,False,"{'a': 0.01, 'e': 0.3230332564222529}",20,5,-28.715121062574458,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
113,False,"{'a': 0.01, 'e': 0.31981902181630384}",25,6,-5.401103749489966,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
114,False,"{'a': 0.01, 'e': 0.31663676937905316}",25,13,7.076477715751701,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.3134861808826053}",30,18,19.52205333182256,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.31036694126548503}",20,8,-80.39238064577066,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 2}",1
117,False,"{'a': 0.01, 'e': 0.30727873860113125}",25,8,-26.502696100468725,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
118,False,"{'a': 0.01, 'e': 0.3042212640667041}",25,13,-13.295371626985585,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.30119421191220214}",25,0,-9.719685623025757,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
120,False,"{'a': 0.01, 'e': 0.2981972794298874}",20,0,-13.957242186348006,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
121,False,"{'a': 0.01, 'e': 0.2952301669240142}",35,7,12.388805807213064,"{0: 26, 1: 1, 2: 0, 3: 1, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.2922925776808594}",30,6,12.484007517934087,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.2893842179390506}",25,11,0.2146049390138094,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.2865047968601901}",30,13,-17.150319944671317,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
125,False,"{'a': 0.01, 'e': 0.2836540264997704}",25,5,19.513189049086513,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.2808316217783798}",20,9,17.686778587229792,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.27803730045319414}",25,11,27.187040892255688,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.27527078308975234}",35,13,40.81778104118831,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2725317930340126}",25,6,-1.8235455497300057,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.2698200563846868}",25,0,17.211184420175357,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
131,False,"{'a': 0.01, 'e': 0.26713530196585034}",25,12,22.632645138676775,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.26447726129982396}",20,9,-47.86820215389608,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 1}",1
133,False,"{'a': 0.01, 'e': 0.261845668580326}",20,0,18.52729451047861,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
134,False,"{'a': 0.01, 'e': 0.2592402606458915}",20,12,3.34620493029656,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.2566607769535559}",20,0,10.232145516725407,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
136,False,"{'a': 0.01, 'e': 0.25410695955280027}",30,0,-64.81108013999157,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
137,False,"{'a': 0.01, 'e': 0.25157855305975646}",20,8,-42.57535911044775,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
138,False,"{'a': 0.01, 'e': 0.24907530463166816}",25,19,12.22495755517929,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.24659696394160643}",20,0,-37.985078382999276,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
140,False,"{'a': 0.01, 'e': 0.2441432831534371}",20,0,-1.5868970670685556,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
141,False,"{'a': 0.01, 'e': 0.24171401689703645}",25,8,-12.035201518055604,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
142,False,"{'a': 0.01, 'e': 0.23930892224375455}",25,0,-45.450336878615175,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
143,False,"{'a': 0.01, 'e': 0.23692775868212176}",25,8,1.9354450662951497,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.23457028809379765}",25,15,5.831575075712356,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.23223627472975883}",25,7,-21.41361063505712,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.22992548518672384}",25,4,-5.835006165478887,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.22763768838381274}",30,18,-30.771592236976502,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
148,False,"{'a': 0.01, 'e': 0.22537265553943872}",35,20,7.080923870285112,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.22313016014842982}",25,0,33.00444128219502,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
150,False,"{'a': 0.01, 'e': 0.2209099779593782}",30,6,-0.7554970538206711,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
151,False,"{'a': 0.01, 'e': 0.21871188695221475}",20,16,9.085522029361426,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.21653566731600707}",30,18,18.654801919095416,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.21438110142697794}",35,8,30.51832321467164,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.21224797382674304}",20,8,-33.25657238045001,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
155,False,"{'a': 0.01, 'e': 0.21013607120076472}",25,17,-7.563376270092011,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.20804518235702046}",25,6,33.61178458018152,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.01, 'e': 0.20597509820488344}",20,0,8.172101333332368,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
158,False,"{'a': 0.01, 'e': 0.20392561173421342}",20,13,1.5966196251151183,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.01, 'e': 0.20189651799465538}",25,12,21.406706387237765,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.01, 'e': 0.1998876140751445}",25,1,23.474461260074108,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.01, 'e': 0.19789869908361465}",20,9,11.969504812640317,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.01, 'e': 0.19592957412690934}",25,14,22.851896226179072,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.01, 'e': 0.19398004229089189}",30,18,5.44376275171496,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
164,False,"{'a': 0.01, 'e': 0.19204990862075408}",20,7,9.103969271794782,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.01, 'e': 0.1901389801015205}",25,19,-0.9812064265194507,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.01, 'e': 0.1882470656387468}",25,0,40.40051525920799,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
167,False,"{'a': 0.01, 'e': 0.18637397603940997}",30,6,26.813753478986776,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.01, 'e': 0.18451952399298926}",30,17,23.243630072056185,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.01, 'e': 0.18268352405273466}",25,0,-20.226940978397703,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
170,False,"{'a': 0.01, 'e': 0.1808657926171221}",20,0,11.082816060934247,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
171,False,"{'a': 0.01, 'e': 0.17906614791149322}",20,10,2.3558561497318693,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.01, 'e': 0.17728440996987782}",25,18,11.903331847638377,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.01, 'e': 0.17552040061699686}",30,13,28.981011797990575,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.01, 'e': 0.17377394345044514}",30,7,25.486966630439916,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.01, 'e': 0.17204486382305054}",25,10,18.74298172230591,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.01, 'e': 0.17033298882540943}",30,21,18.430928248530094,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.01, 'e': 0.1686381472685955}",20,3,15.983035600512215,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.01, 'e': 0.1669601696670407}",30,16,-20.76726703483577,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
179,False,"{'a': 0.01, 'e': 0.16529888822158653}",30,20,6.944565481933747,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.01, 'e': 0.16365413680270405}",20,14,-19.05646271454312,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
181,False,"{'a': 0.01, 'e': 0.16202575093388075}",30,14,12.212880154188875,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.01, 'e': 0.16041356777517274}",30,12,18.954035467328467,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
183,False,"{'a': 0.01, 'e': 0.15881742610692068}",20,7,23.37691570490857,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.01, 'e': 0.1572371663136276}",25,14,15.787258116336837,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
