trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1268,False,"{'a': 0.85, 'e': 0.0789816772931792}",20,6,2.9361318000756924,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
1269,False,"{'a': 0.85, 'e': 0.07882371393859285}",20,0,28.618446015155293,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1270,False,"{'a': 0.85, 'e': 0.07866606651071567}",25,13,20.446337742984817,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1271,False,"{'a': 0.85, 'e': 0.07850873437769423}",30,17,24.452240109876637,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1272,False,"{'a': 0.85, 'e': 0.07835171690893884}",25,4,11.784901712437755,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 0}",1
1273,False,"{'a': 0.85, 'e': 0.07819501347512096}",25,14,17.48887918148922,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1274,False,"{'a': 0.85, 'e': 0.07803862344817072}",25,15,8.238635392986279,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1275,False,"{'a': 0.85, 'e': 0.07788254620127438}",20,7,11.01135208755018,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
1276,False,"{'a': 0.85, 'e': 0.07772678110887184}",30,4,-11.677295636129026,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 1}",1
1277,False,"{'a': 0.85, 'e': 0.07757132754665409}",20,12,-13.708941694870155,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
1278,False,"{'a': 0.85, 'e': 0.07741618489156078}",20,8,1.0214003563898013,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
1279,False,"{'a': 0.85, 'e': 0.07726135252177765}",20,11,15.494315538601473,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1280,False,"{'a': 0.85, 'e': 0.0771068298167341}",25,10,26.444369161933267,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1281,False,"{'a': 0.85, 'e': 0.07695261615710064}",20,0,7.237601272118381,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
1282,False,"{'a': 0.85, 'e': 0.07679871092478643}",25,3,24.45464270548933,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
1283,False,"{'a': 0.85, 'e': 0.07664511350293686}",30,19,12.135967126885463,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1284,False,"{'a': 0.85, 'e': 0.07649182327593099}",30,20,15.772822044513418,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1285,False,"{'a': 0.85, 'e': 0.07633883962937912}",20,3,-12.751222385305388,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
1286,False,"{'a': 0.85, 'e': 0.07618616195012036}",20,12,13.823799197729391,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
